Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",0805,2,1uF,
"C2, C3, C4, C5, C6",0805,5,0.1uF,
J1,JST_XH_S5B-XH-A-1_1x05_P2.50mm_Horizontal,1,Conn_01x05,C2908614
R1,0805,1,R,
"R10_2, R12",0805,2,1k,
"R10, R5, R6, R7, R8, R9",2512,6,1k,
"R11, R16, R2",0805,3,10k,
R13,0805,1,4.5k,
"R14, R15",0805,2,1M,
R17,RES-TH_L2.5-W2.5-P1.70-D0.3,1,MF52A1103F3950(P334-4),C13879
R3,0805,1,470k,
R4,0805,1,100k,
TP2,TestPoint,1,TestPoint,
U1,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,BQ7791500PWR,C2876946
"U2, U3, U4, U5, U6, U7, U8, U9",TO-252-3_L6.5-W6.1-P4.58-LS9.9-BR,8,IRFR3707ZTRPBF-VB,C7463619
